latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
33.014,-79.882,306.9,1.1,1.1,2018-10-08,03:35,T,70,6.0NRT,291.9,7.5,N
33.012,-79.894,303.7,1.1,1.1,2018-10-08,03:35,T,56,6.0NRT,290.8,5.1,N
34.639,-87.084,311.8,1.3,1.1,2018-10-08,03:35,T,83,6.0NRT,293.3,16.3,N
37.236,-82.043,306.1,1,1,2018-10-08,03:35,T,67,6.0NRT,291.5,7.3,N
30.357,-83.104,301.7,1,1,2018-10-08,03:35,T,43,6.0NRT,289.7,4.3,N
39.484,-84.384,302.5,1,1,2018-10-08,03:40,T,49,6.0NRT,292,3.9,N
17.888,-93.179,306.4,4.1,1.9,2018-10-08,05:10,T,68,6.0NRT,289.5,48.4,N
17.897,-93.213,302.7,4.1,1.9,2018-10-08,05:10,T,51,6.0NRT,289.5,31.5,N
17.837,-93.129,318.7,4.1,1.9,2018-10-08,05:10,T,97,6.0NRT,289.2,122.4,N
17.901,-93.174,305.3,4.1,1.9,2018-10-08,05:10,T,64,6.0NRT,289.6,43.3,N
17.85,-93.123,319.8,4.1,1.9,2018-10-08,05:10,T,99,6.0NRT,289.3,128.8,N
17.841,-93.09,300.3,4.1,1.9,2018-10-08,05:10,T,25,6.0NRT,288.9,22.4,N
17.833,-93.122,302.2,4.1,1.9,2018-10-08,05:10,T,48,6.0NRT,289.1,29.6,N
18.868,-92.635,306.2,4.6,2,2018-10-08,05:10,T,43,6.0NRT,289.8,47.8,N
18.868,-92.63,307.1,4.6,2,2018-10-08,05:10,T,51,6.0NRT,289.8,52.1,N
18.929,-70.353,304,1.1,1.1,2018-10-08,06:15,A,58,6.0NRT,282.3,7.7,N
35.939,-89.713,303.6,1,1,2018-10-08,07:50,A,56,6.0NRT,293.1,5.4,N
39.981,-86.83,301.5,1,1,2018-10-08,07:50,A,42,6.0NRT,290.2,4.7,N
38.698,-90.133,308.8,1.1,1,2018-10-08,07:50,A,76,6.0NRT,292,10.4,N
38.696,-90.121,305.9,1.1,1,2018-10-08,07:50,A,66,6.0NRT,291.5,8,N
35.77,-94.605,303.3,1.7,1.3,2018-10-08,07:50,A,54,6.0NRT,287.1,11.7,N
26.765,-97.497,307.6,2,1.4,2018-10-08,07:55,A,56,6.0NRT,293.5,18.1,N
18.642,-92.162,304,1,1,2018-10-08,07:55,A,58,6.0NRT,291.8,4.8,N
18.643,-92.171,330.5,1,1,2018-10-08,07:55,A,100,6.0NRT,292.1,29.8,N
18.877,-92.623,306.1,1,1,2018-10-08,07:55,A,41,6.0NRT,294.7,3.7,N
17.843,-93.111,329.3,1,1,2018-10-08,07:55,A,100,6.0NRT,291.7,26.9,N
17.844,-93.12,341.5,1,1,2018-10-08,07:55,A,100,6.0NRT,292.8,44.8,N
17.912,-93.52,304.8,1,1,2018-10-08,07:55,A,62,6.0NRT,292.8,5.2,N
17.898,-93.178,302.9,1,1,2018-10-08,07:55,A,42,6.0NRT,292.6,3.5,N
17.897,-92.484,307.5,1,1,2018-10-08,07:55,A,72,6.0NRT,291.6,6.5,N
17.899,-92.494,302.2,1,1,2018-10-08,07:55,A,22,6.0NRT,291.3,3.2,N
42.688,-111.592,302.1,1,1,2018-10-08,09:30,A,47,6.0NRT,270.9,10.6,N
40.218,-122.111,305.5,2.8,1.6,2018-10-08,09:30,A,64,6.0NRT,287.1,40,N
40.217,-122.12,302.8,2.8,1.6,2018-10-08,09:30,A,51,6.0NRT,286.6,32.4,N
26.448,-77.096,317.5,1.2,1.1,2018-10-08,15:40,T,68,6.0NRT,293.5,12.3,D
26.449,-77.108,319.5,1.2,1.1,2018-10-08,15:40,T,71,6.0NRT,294.2,15.2,D
34.436,-89.207,337.6,2.2,1.4,2018-10-08,17:15,T,89,6.0NRT,295.4,107.7,D
35.513,-94.659,315,1.1,1,2018-10-08,17:15,T,72,6.0NRT,294.1,10.4,D
35.766,-94.609,320.4,1.1,1,2018-10-08,17:15,T,78,6.0NRT,292.3,15.9,D
35.257,-90.949,326.4,1.6,1.2,2018-10-08,17:15,T,81,6.0NRT,299.4,35.1,D
35.577,-92.649,313.4,1.3,1.1,2018-10-08,17:15,T,64,6.0NRT,287.5,13.9,D
35.429,-90.814,314.9,1.6,1.3,2018-10-08,17:15,T,64,6.0NRT,298.3,13.2,D
37.16,-89.934,317.7,1.7,1.3,2018-10-08,17:15,T,72,6.0NRT,297.8,23.1,D
37.162,-89.939,314.5,1.7,1.3,2018-10-08,17:15,T,69,6.0NRT,298.1,17.8,D
36.996,-89.235,321.5,1.9,1.3,2018-10-08,17:15,T,64,6.0NRT,295.1,35.3,D
36.908,-89.204,318.4,1.9,1.3,2018-10-08,17:15,T,60,6.0NRT,298.4,24.4,D
36.758,-89.625,323,1.8,1.3,2018-10-08,17:15,T,79,6.0NRT,295.6,36.4,D
36.817,-90.148,313.4,1.7,1.3,2018-10-08,17:15,T,61,6.0NRT,296.4,14,D
36.252,-90.662,312.1,1.6,1.2,2018-10-08,17:15,T,63,6.0NRT,295.7,10.6,D
36.249,-90.644,311,1.6,1.2,2018-10-08,17:15,T,58,6.0NRT,293.9,8.4,D
35.806,-90.008,334.5,1.8,1.3,2018-10-08,17:15,T,87,6.0NRT,299.2,62.2,D
35.802,-89.989,324.6,1.8,1.3,2018-10-08,17:15,T,79,6.0NRT,297.7,32.5,D
34.431,-89.184,315.2,2.2,1.4,2018-10-08,17:15,T,68,6.0NRT,295,27.3,D
33.682,-91.307,366.7,1.7,1.3,2018-10-08,17:20,T,75,6.0NRT,304.1,200.4,D
33.72,-90.791,320.7,1.8,1.3,2018-10-08,17:20,T,75,6.0NRT,301.9,15.8,D
33.723,-90.809,326.8,1.8,1.3,2018-10-08,17:20,T,76,6.0NRT,302.8,30.2,D
32.966,-87.237,312.1,3.1,1.7,2018-10-08,17:20,T,63,6.0NRT,291.6,45.4,D
33.735,-90.806,320.2,1.8,1.3,2018-10-08,17:20,T,65,6.0NRT,302.9,15.1,D
33.822,-90.776,318.6,1.8,1.3,2018-10-08,17:20,T,66,6.0NRT,301.8,12.6,D
34.131,-92.379,333.5,1.4,1.2,2018-10-08,17:20,T,86,6.0NRT,294.9,48.5,D
33.616,-89.637,313.4,2.1,1.4,2018-10-08,17:20,T,64,6.0NRT,295.2,22.4,D
33.289,-87.913,327.9,2.8,1.6,2018-10-08,17:20,T,82,6.0NRT,293.4,93.4,D
33.292,-87.906,323.5,2.8,1.6,2018-10-08,17:20,T,79,6.0NRT,292.5,76.1,D
33.298,-87.934,314.6,2.8,1.6,2018-10-08,17:20,T,67,6.0NRT,294.6,38.7,D
33.586,-88.921,328.8,2.4,1.5,2018-10-08,17:20,T,83,6.0NRT,295.9,80.3,D
33.591,-88.945,323.1,2.3,1.5,2018-10-08,17:20,T,78,6.0NRT,295.9,56.7,D
33.582,-88.917,319.6,2.4,1.5,2018-10-08,17:20,T,74,6.0NRT,295.4,45.3,D
33.587,-88.941,328.3,2.3,1.5,2018-10-08,17:20,T,83,6.0NRT,295.9,77.5,D
34.062,-90.984,367.8,1.7,1.3,2018-10-08,17:20,T,100,6.0NRT,304.2,213.5,D
34.066,-91.002,358,1.7,1.3,2018-10-08,17:20,T,99,6.0NRT,304.4,151.6,D
34.073,-90.981,320.2,1.7,1.3,2018-10-08,17:20,T,74,6.0NRT,300,15.7,D
34.221,-90.964,319.7,1.7,1.3,2018-10-08,17:20,T,63,6.0NRT,301.6,15.7,D
33.69,-87.876,308.3,2.7,1.6,2018-10-08,17:20,T,45,6.0NRT,291.6,18.5,D
34.717,-92.641,307.9,1.3,1.1,2018-10-08,17:20,T,31,6.0NRT,293.9,6.3,D
