latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.922,-70.355,301.3,3,1.7,2018-11-12,02:25,T,39,6.0NRT,290.3,18.9,N
19.396,-92.047,320.2,1.8,1.3,2018-11-12,04:05,T,100,6.0NRT,295,34.4,N
17.834,-93.123,312.2,2.3,1.5,2018-11-12,04:05,T,84,6.0NRT,292.4,31.9,N
17.847,-93.126,323.5,2.3,1.5,2018-11-12,04:05,T,100,6.0NRT,292.6,65.9,N
17.849,-93.109,320.1,2.3,1.5,2018-11-12,04:05,T,100,6.0NRT,292.6,54.1,N
17.845,-93.13,325.9,2.3,1.5,2018-11-12,04:05,T,100,6.0NRT,292.7,74.8,N
17.889,-93.183,318.3,2.3,1.5,2018-11-12,04:05,T,97,6.0NRT,292.5,49.7,N
19.565,-92.254,306.8,1.8,1.3,2018-11-12,04:05,T,14,6.0NRT,295,9,N
19.568,-92.237,324.7,1.8,1.3,2018-11-12,04:05,T,100,6.0NRT,295.2,45.1,N
19.57,-92.249,314.1,1.8,1.3,2018-11-12,04:05,T,84,6.0NRT,294.9,21.6,N
19.573,-92.232,312.2,1.8,1.3,2018-11-12,04:05,T,78,6.0NRT,295,17.6,N
19.561,-92.229,308.6,1.8,1.3,2018-11-12,04:05,T,62,6.0NRT,295,12.9,N
19.558,-92.246,309,1.8,1.3,2018-11-12,04:05,T,64,6.0NRT,294.9,13.9,N
39.639,-121.538,307,1.4,1.2,2018-11-12,05:45,T,70,6.0NRT,280.8,17.4,N
36.216,-118.572,323.7,1.2,1.1,2018-11-12,05:45,T,100,6.0NRT,277.3,32.2,N
36.225,-118.575,300.3,1.2,1.1,2018-11-12,05:45,T,8,6.0NRT,274.6,9.6,N
36.235,-118.632,306.2,1.2,1.1,2018-11-12,05:45,T,67,6.0NRT,278.6,13.7,N
36.402,-118.741,302.8,1.2,1.1,2018-11-12,05:45,T,52,6.0NRT,278.6,11.6,N
37.046,-120.422,300.5,1.4,1.2,2018-11-12,05:45,T,28,6.0NRT,274.3,14.2,N
39.641,-121.471,319.2,1.4,1.2,2018-11-12,05:45,T,98,6.0NRT,282.2,32,N
39.651,-121.473,341.4,1.4,1.2,2018-11-12,05:45,T,100,6.0NRT,284,77.9,N
39.802,-121.38,304.6,1.4,1.2,2018-11-12,05:45,T,34,6.0NRT,281.9,13.6,N
39.802,-121.393,315.8,1.4,1.2,2018-11-12,05:45,T,37,6.0NRT,283.8,23.3,N
